Address,Bedrooms,Bathrooms,Parking Spots,Study,Area in m²,Price
"3003/1 Australia Avenue,Sydney Olympic Park NSW 2127",3,2,2,0,-,1210000
"20101/2B Figtree Drive, Sydney Olympic Park",2,2,1,0,-,900000
"2708/1 Australia Avenue,Sydney Olympic Park NSW 2127",2,1,1,0,93,660000
"906/7 Australia Avenue,Sydney Olympic Park NSW 2127",1,1,1,1,76,545000
"512/2B Betty Cuthbert Avenue,Sydney Olympic Park NSW 2127",2,2,1,0,99,780000
"1006/11 Australia Ave,Sydney Olympic Park NSW 2127",2,2,1,0,-,810000
"522/2 Betty Cuthbert Avenue,Sydney Olympic Park NSW 2127",2,2,1,0,101,800000
"907/11 Australia Avenue,Sydney Olympic Park NSW 2127",2,2,1,0,-,655000
"711/1 Australia Ave,Sydney Olympic Park NSW 2127",2,1,1,1,-,647500
"2604/1 Brushbox Street, Sydney Olympic Park",2,2,1,1,105,-
"413/2 Betty Cuthbert Avenue, Sydney Olympic Park, NSW 2127",1,1,1,1,-,-
"121/2a Betty Cuthbert Avenue, Sydney Olympic Park",2,2,1,1,120,-
"1911/7 Australia Avenue,Sydney Olympic Park NSW 2127",2,1,1,0,-,685000
"311/1 Australia Avenue,Sydney Olympic Park NSW 2127",2,1,1,0,-,620000
"413/7 Australia Avenue,Sydney Olympic Park NSW 2127",2,2,1,1,-,650000
"22409/2B Figtree Drive,Sydney Olympic Park NSW 2127",2,2,1,1,109,-
"518/2 Betty Cuthbert Avenue,Sydney Olympic Park NSW 2127",1,1,1,1,84,580000
"2410/1 Australian Avenue,Sydney Olympic Park NSW 2127",2,1,1,1,79,740000
"1408/1 Australia Avenue,Sydney Olympic Park NSW 2127",2,2,1,1,109,660000
"1801/7 Australia Avenue,Sydney Olympic Park NSW 2127",1,1,1,0,-,576500
"253/1 Betty Cuthbert Avenue, Sydney Olympic Park",1,1,1,1,-,-
"711/2B Betty Cuthbert Avenue,Sydney Olympic Park NSW 2127",1,1,1,0,81,595000
